Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao
app/MainApp.js,90.315,1,3,16,7.273,1149.989,63.888
app/RoutesApp.js,74.559,9,10,21,20.018,13787.68,765.982
app/useMockApp.js,67.554,2,18,27,7.682,3309.618,183.868
bootstrap.js,89.003,1,1,4,3.056,244.305,13.573
components/CardUser/CardUser.js,81.556,1,5,15,6.75,978.389,54.355
components/CardUser/index.js,100,1,0,1,1,4.755,0.264
components/Example/Example.js,87.096,1,3,7,6,322.647,17.925
components/Example/index.js,100,1,0,2,1,12,0.667
components/FormDepartment/FormDepartment.js,74.881,17,46,53,31.455,67998.03,3777.668
components/FormDepartment/index.js,100,1,0,1,1,4.755,0.264
components/FormDepartmentFields/FormDepartmentFields.js,88.045,3,3,21,11.2,4321.345,240.075
components/FormDepartmentFields/index.js,100,1,0,1,1,4.755,0.264
components/FormDeseg/FormDeseg.js,75.113,9,48,57,35,69282.004,3849
components/FormDeseg/FormDeseg.schema.js,74.905,1,3,5,8.8,1546.096,85.894
components/FormDeseg/index.js,100,1,0,1,1,4.755,0.264
components/FormDesegFields/FormDesegFields.js,80.903,3,3,28,8.885,3008.459,167.137
components/FormDesegFields/index.js,100,1,0,1,1,4.755,0.264
components/FormReport/FormReport.js,79.673,1,7,17,8.471,1892.898,105.161
components/FormReport/index.js,100,1,0,1,1,4.755,0.264
components/FormReportFields/FormReportFields.js,94.855,1,2,22,5.474,1197.231,66.513
components/FormReportFields/index.js,100,1,0,1,1,4.755,0.264
components/FormTeacher/FormTeacher.js,76.438,11,44,53,33,66145.225,3674.735
components/FormTeacher/index.js,100,1,0,1,1,4.755,0.264
components/FormTeacherFields/FormTeacherFields.js,84.522,1,3,21,6,1240.916,68.94
components/FormTeacherFields/index.js,100,1,0,1,1,4.755,0.264
components/FormVigilant/FormVigilant.js,73.151,11,73,95,41.654,125456.234,6969.791
components/FormVigilant/FormVigilant.schema.js,70.08,1,5,8,7.071,1535.426,85.301
components/FormVigilant/index.js,100,1,0,1,1,4.755,0.264
components/FormVigilantFields/FormVigilantFields.js,82.382,5,4,34,12.541,6823.966,379.109
components/FormVigilantFields/index.js,100,1,0,1,1,4.755,0.264
components/PageLayout/index.js,100,1,0,1,1,4.755,0.264
components/PageLayout/PageLayout.js,71.4,8,10,18,16.5,9571.488,531.749
domains/Department.js,100,1,0,1,1,2,0.111
pages/Home/HomePage.js,76.355,16,15,64,21.754,31628.582,1757.143
pages/Home/index.js,100,1,0,1,1.5,23.265,1.292
pages/Register/index.js,100,1,0,1,1.5,23.265,1.292
pages/Register/RegisterPage.js,71.08,23,38,68,33.241,83694.345,4649.686
services/httpClient.js,73.235,2,4,8,6.417,870.786,48.377
shared/utfpr-core-shared-mfe/UserStore.js,100,1,0,2,3,54.284,3.016
types/User.js,100,1,0,1,1,2,0.111
